target_x, target_y, feedback_x, feedback_y, mouse_x, mouse_y, elapsed_time
1346, 498,1752, 20,940, 1036,0:00:00.000737
1346, 498,1752, 20,940, 1035,0:00:00.096808
1346, 498,1752, 20,940, 1034,0:00:00.098749
1346, 498,1753, 20,939, 1034,0:00:00.100733
1346, 498,1753, 20,939, 1034,0:00:00.102713
1346, 498,1753, 20,939, 1033,0:00:00.104731
1346, 498,1753, 20,939, 1033,0:00:00.108729
1346, 498,1753, 20,939, 1032,0:00:00.110704
1346, 498,1753, 20,939, 1031,0:00:00.114727
1346, 498,1753, 20,939, 1031,0:00:00.116710
1346, 498,1753, 20,939, 1030,0:00:00.118711
1346, 498,1753, 20,939, 1029,0:00:00.120726
1346, 498,1753, 20,939, 1029,0:00:00.122706
1346, 498,1753, 20,939, 1027,0:00:00.124698
1346, 498,1753, 20,939, 1026,0:00:00.126726
1346, 498,1753, 20,939, 1025,0:00:00.128724
1346, 498,1753, 20,939, 1024,0:00:00.130725
1346, 498,1753, 20,939, 1023,0:00:00.132720
1346, 498,1753, 20,939, 1021,0:00:00.134718
1346, 498,1753, 20,939, 1020,0:00:00.136725
1346, 498,1753, 20,939, 1017,0:00:00.138705
1346, 498,1753, 20,939, 1015,0:00:00.140727
1346, 498,1753, 20,939, 1013,0:00:00.142712
1346, 498,1753, 20,939, 1011,0:00:00.144714
1346, 498,1753, 20,939, 1009,0:00:00.146725
1346, 498,1752, 20,940, 1007,0:00:00.148720
1346, 498,1752, 20,940, 1003,0:00:00.150716
1346, 498,1751, 20,941, 1000,0:00:00.152701
1346, 498,1751, 20,941, 997,0:00:00.154730
1346, 498,1750, 20,942, 994,0:00:00.156720
1346, 498,1749, 20,943, 990,0:00:00.158724
1346, 498,1748, 20,944, 985,0:00:00.160726
1346, 498,1746, 20,946, 981,0:00:00.162720
1346, 498,1746, 20,946, 976,0:00:00.164717
1346, 498,1745, 25,947, 971,0:00:00.166699
1346, 498,1743, 30,949, 966,0:00:00.168724
1346, 498,1742, 36,950, 960,0:00:00.170714
1346, 498,1739, 46,953, 950,0:00:00.172720
1346, 498,1736, 52,956, 944,0:00:00.174735
