target_x, target_y, feedback_x, feedback_y, mouse_x, mouse_y, elapsed_time
933, 632,916, 234,950, 1030,0:00:00.046773
933, 632,916, 234,950, 1030,0:00:00.108744
933, 632,916, 235,950, 1029,0:00:00.110692
933, 632,916, 235,950, 1029,0:00:00.114674
933, 632,917, 236,949, 1028,0:00:00.116659
933, 632,917, 237,949, 1027,0:00:00.118648
933, 632,917, 238,949, 1026,0:00:00.120660
933, 632,917, 240,949, 1024,0:00:00.122651
933, 632,917, 241,949, 1023,0:00:00.124765
933, 632,918, 241,948, 1023,0:00:00.126655
933, 632,919, 243,947, 1021,0:00:00.128714
933, 632,919, 244,947, 1020,0:00:00.130747
933, 632,919, 247,947, 1017,0:00:00.132721
933, 632,919, 248,947, 1016,0:00:00.134713
933, 632,920, 250,946, 1014,0:00:00.136692
933, 632,920, 253,946, 1011,0:00:00.138754
933, 632,921, 254,945, 1010,0:00:00.140768
933, 632,922, 257,944, 1007,0:00:00.142691
933, 632,922, 260,944, 1004,0:00:00.144756
933, 632,923, 263,943, 1001,0:00:00.146728
933, 632,923, 266,943, 998,0:00:00.148717
933, 632,924, 268,942, 996,0:00:00.150697
933, 632,925, 272,941, 992,0:00:00.152728
933, 632,926, 277,940, 987,0:00:00.154724
933, 632,926, 280,940, 984,0:00:00.156722
933, 632,927, 284,939, 980,0:00:00.158738
933, 632,928, 287,938, 977,0:00:00.160732
933, 632,929, 291,937, 973,0:00:00.162716
933, 632,930, 297,936, 967,0:00:00.164704
933, 632,930, 301,936, 963,0:00:00.166730
933, 632,932, 305,934, 959,0:00:00.168713
933, 632,932, 310,934, 954,0:00:00.170710
933, 632,933, 314,933, 950,0:00:00.172747
933, 632,933, 318,933, 946,0:00:00.174718
933, 632,935, 325,931, 939,0:00:00.176709
933, 632,935, 330,931, 934,0:00:00.178698
933, 632,936, 334,930, 930,0:00:00.180597
933, 632,936, 339,930, 925,0:00:00.182633
933, 632,936, 344,930, 920,0:00:00.184628
933, 632,937, 352,929, 912,0:00:00.186749
933, 632,938, 357,928, 907,0:00:00.188715
933, 632,938, 363,928, 901,0:00:00.190723
933, 632,939, 368,927, 896,0:00:00.192712
933, 632,939, 374,927, 890,0:00:00.194722
933, 632,939, 380,927, 884,0:00:00.196712
933, 632,939, 388,927, 876,0:00:00.198712
933, 632,940, 395,926, 869,0:00:00.200743
933, 632,940, 401,926, 863,0:00:00.202717
933, 632,940, 407,926, 857,0:00:00.204711
933, 632,940, 413,926, 851,0:00:00.206710
933, 632,942, 422,924, 842,0:00:00.208724
933, 632,943, 428,923, 836,0:00:00.210712
933, 632,943, 434,923, 830,0:00:00.212709
933, 632,944, 440,922, 824,0:00:00.214753
933, 632,945, 446,921, 818,0:00:00.216718
933, 632,946, 455,920, 809,0:00:00.218722
933, 632,947, 461,919, 803,0:00:00.220714
933, 632,948, 467,918, 797,0:00:00.222726
933, 632,949, 473,917, 791,0:00:00.224717
933, 632,951, 478,915, 786,0:00:00.226714
933, 632,952, 484,914, 780,0:00:00.228742
933, 632,955, 493,911, 771,0:00:00.230715
933, 632,956, 498,910, 766,0:00:00.232715
933, 632,958, 504,908, 760,0:00:00.234706
933, 632,959, 509,907, 755,0:00:00.236714
933, 632,961, 514,905, 750,0:00:00.238726
933, 632,963, 523,903, 741,0:00:00.240695
933, 632,966, 528,900, 736,0:00:00.242751
933, 632,967, 533,899, 731,0:00:00.244715
933, 632,969, 538,897, 726,0:00:00.246718
933, 632,970, 544,896, 720,0:00:00.248740
933, 632,972, 548,894, 716,0:00:00.250713
933, 632,974, 556,892, 708,0:00:00.252717
933, 632,975, 560,891, 704,0:00:00.254690
933, 632,976, 565,890, 699,0:00:00.256718
933, 632,977, 570,889, 694,0:00:00.258720
933, 632,979, 573,887, 691,0:00:00.260713
933, 632,981, 580,885, 684,0:00:00.262736
933, 632,982, 583,884, 681,0:00:00.264722
933, 632,983, 587,883, 677,0:00:00.266724
933, 632,984, 590,882, 674,0:00:00.268697
933, 632,985, 593,881, 671,0:00:00.270723
933, 632,986, 596,880, 668,0:00:00.272712
933, 632,987, 600,879, 664,0:00:00.274707
933, 632,987, 603,879, 661,0:00:00.276738
933, 632,987, 605,879, 659,0:00:00.278718
933, 632,988, 608,878, 656,0:00:00.280721
933, 632,988, 610,878, 654,0:00:00.282835
933, 632,988, 613,878, 651,0:00:00.284600
933, 632,988, 615,878, 649,0:00:00.286712
933, 632,988, 617,878, 647,0:00:00.288714
933, 632,989, 618,877, 646,0:00:00.290744
933, 632,989, 620,877, 644,0:00:00.292713
933, 632,989, 622,877, 642,0:00:00.294710
933, 632,989, 623,877, 641,0:00:00.296707
933, 632,989, 624,877, 640,0:00:00.298722
933, 632,989, 625,877, 639,0:00:00.300711
933, 632,988, 625,878, 639,0:00:00.302715
933, 632,988, 627,878, 637,0:00:00.304761
933, 632,988, 627,878, 637,0:00:00.306699
933, 632,988, 628,878, 636,0:00:00.308711
933, 632,988, 628,878, 636,0:00:00.310684
933, 632,987, 629,879, 635,0:00:00.312719
933, 632,987, 630,879, 634,0:00:00.316719
933, 632,987, 630,879, 634,0:00:00.320712
933, 632,987, 631,879, 633,0:00:00.322721
933, 632,987, 631,879, 633,0:00:00.324703
933, 632,986, 631,880, 633,0:00:00.328721
933, 632,986, 632,880, 632,0:00:00.330729
933, 632,985, 632,881, 632,0:00:00.334724
933, 632,985, 633,881, 631,0:00:00.336708
933, 632,984, 633,882, 631,0:00:00.338713
933, 632,984, 634,882, 630,0:00:00.342730
933, 632,983, 634,883, 630,0:00:00.344695
933, 632,983, 634,883, 630,0:00:00.346717
933, 632,933, 632,884, 630,0:00:00.348721
933, 632,933, 632,885, 630,0:00:00.350711
933, 632,933, 632,886, 629,0:00:00.352713
933, 632,933, 632,886, 629,0:00:00.356714
933, 632,933, 632,887, 629,0:00:00.358713
933, 632,933, 632,888, 628,0:00:00.360749
933, 632,933, 632,889, 628,0:00:00.362712
933, 632,933, 632,889, 627,0:00:00.364759
933, 632,933, 632,890, 627,0:00:00.366730
933, 632,933, 632,891, 627,0:00:00.368735
933, 632,933, 632,892, 627,0:00:00.370737
933, 632,933, 632,893, 626,0:00:00.372713
933, 632,933, 632,894, 626,0:00:00.374739
933, 632,933, 632,894, 625,0:00:00.376715
933, 632,933, 632,896, 625,0:00:00.378719
933, 632,933, 632,896, 624,0:00:00.380717
933, 632,933, 632,898, 624,0:00:00.382723
933, 632,933, 632,899, 624,0:00:00.384714
933, 632,933, 632,900, 623,0:00:00.386694
933, 632,933, 632,901, 623,0:00:00.388642
933, 632,933, 632,902, 623,0:00:00.390641
933, 632,933, 632,904, 623,0:00:00.392634
933, 632,933, 632,905, 623,0:00:00.394641
933, 632,933, 632,906, 622,0:00:00.396730
933, 632,933, 632,907, 622,0:00:00.398716
933, 632,933, 632,909, 621,0:00:00.400690
