target_x, target_y, feedback_x, feedback_y, mouse_x, mouse_y, elapsed_time
505, 738,58, 430,952, 1046,0:00:00.198073
505, 738,58, 431,952, 1045,0:00:00.201861
505, 738,57, 432,953, 1044,0:00:00.203771
505, 738,57, 433,953, 1043,0:00:00.205754
505, 738,57, 433,953, 1043,0:00:00.207706
505, 738,57, 434,953, 1042,0:00:00.209713
505, 738,57, 436,953, 1040,0:00:00.211707
505, 738,57, 437,953, 1039,0:00:00.213710
505, 738,57, 438,953, 1038,0:00:00.215698
505, 738,57, 439,953, 1037,0:00:00.217684
505, 738,56, 441,954, 1035,0:00:00.219682
505, 738,56, 442,954, 1034,0:00:00.221681
505, 738,56, 444,954, 1032,0:00:00.223684
505, 738,56, 446,954, 1030,0:00:00.225679
505, 738,56, 447,954, 1029,0:00:00.227690
505, 738,56, 449,954, 1027,0:00:00.229672
505, 738,55, 450,955, 1026,0:00:00.231682
505, 738,55, 451,955, 1025,0:00:00.233685
505, 738,55, 454,955, 1022,0:00:00.235693
505, 738,55, 456,955, 1020,0:00:00.237688
505, 738,55, 457,955, 1019,0:00:00.239685
505, 738,55, 459,955, 1017,0:00:00.241685
505, 738,54, 461,956, 1015,0:00:00.243683
505, 738,54, 464,956, 1012,0:00:00.245709
505, 738,54, 466,956, 1010,0:00:00.247702
505, 738,53, 468,957, 1008,0:00:00.249686
505, 738,53, 470,957, 1006,0:00:00.251683
505, 738,53, 473,957, 1003,0:00:00.253702
505, 738,53, 474,957, 1002,0:00:00.255687
505, 738,52, 478,958, 998,0:00:00.257672
505, 738,52, 480,958, 996,0:00:00.259682
505, 738,52, 483,958, 993,0:00:00.261685
505, 738,52, 485,958, 991,0:00:00.263679
505, 738,51, 487,959, 989,0:00:00.265685
505, 738,51, 490,959, 986,0:00:00.267678
505, 738,51, 493,959, 983,0:00:00.269688
505, 738,50, 494,960, 982,0:00:00.271696
505, 738,50, 497,960, 979,0:00:00.273714
505, 738,49, 499,961, 977,0:00:00.275708
505, 738,49, 501,961, 975,0:00:00.277703
505, 738,49, 503,961, 973,0:00:00.279703
505, 738,49, 506,961, 970,0:00:00.281704
505, 738,48, 507,962, 969,0:00:00.283705
505, 738,48, 509,962, 967,0:00:00.285706
505, 738,48, 511,962, 965,0:00:00.287701
505, 738,48, 514,962, 962,0:00:00.289703
505, 738,48, 516,962, 960,0:00:00.291700
505, 738,48, 517,962, 959,0:00:00.293710
505, 738,48, 519,962, 957,0:00:00.295708
505, 738,47, 521,963, 955,0:00:00.297719
505, 738,47, 523,963, 953,0:00:00.299711
505, 738,47, 526,963, 950,0:00:00.301690
505, 738,47, 528,963, 948,0:00:00.303709
505, 738,47, 530,963, 946,0:00:00.305701
505, 738,47, 532,963, 944,0:00:00.307698
505, 738,47, 534,963, 942,0:00:00.309706
505, 738,47, 537,963, 939,0:00:00.311705
505, 738,47, 539,963, 937,0:00:00.313723
505, 738,47, 540,963, 936,0:00:00.315702
505, 738,48, 543,962, 933,0:00:00.317691
505, 738,48, 544,962, 932,0:00:00.319685
505, 738,48, 547,962, 929,0:00:00.321679
505, 738,48, 550,962, 926,0:00:00.323681
505, 738,48, 551,962, 925,0:00:00.325680
505, 738,48, 553,962, 923,0:00:00.327684
505, 738,48, 556,962, 920,0:00:00.329682
505, 738,48, 558,962, 918,0:00:00.331678
505, 738,48, 561,962, 915,0:00:00.333666
505, 738,48, 563,962, 913,0:00:00.335683
505, 738,48, 566,962, 910,0:00:00.337691
505, 738,48, 568,962, 908,0:00:00.339683
505, 738,47, 570,963, 906,0:00:00.341684
505, 738,47, 574,963, 902,0:00:00.343702
505, 738,47, 577,963, 899,0:00:00.345686
505, 738,47, 580,963, 896,0:00:00.347672
505, 738,47, 583,963, 893,0:00:00.349687
505, 738,47, 585,963, 891,0:00:00.351684
505, 738,47, 588,963, 888,0:00:00.353682
505, 738,48, 593,962, 883,0:00:00.355679
505, 738,48, 596,962, 880,0:00:00.357679
505, 738,48, 599,962, 877,0:00:00.359677
505, 738,49, 601,961, 875,0:00:00.361675
505, 738,49, 604,961, 872,0:00:00.363681
505, 738,51, 609,959, 867,0:00:00.365684
505, 738,51, 612,959, 864,0:00:00.367679
505, 738,52, 616,958, 860,0:00:00.369684
505, 738,54, 619,956, 857,0:00:00.371681
505, 738,55, 621,955, 855,0:00:00.373684
505, 738,56, 624,954, 852,0:00:00.375684
505, 738,58, 629,952, 847,0:00:00.377682
505, 738,60, 631,950, 845,0:00:00.379681
505, 738,62, 634,948, 842,0:00:00.381682
505, 738,63, 636,947, 840,0:00:00.383681
505, 738,65, 639,945, 837,0:00:00.385682
505, 738,68, 642,942, 834,0:00:00.387679
505, 738,71, 644,939, 832,0:00:00.389666
505, 738,73, 647,937, 829,0:00:00.391678
505, 738,75, 649,935, 827,0:00:00.393691
505, 738,78, 651,932, 825,0:00:00.395681
505, 738,81, 653,929, 823,0:00:00.397706
505, 738,85, 656,925, 820,0:00:00.399681
505, 738,88, 658,922, 818,0:00:00.401683
505, 738,91, 659,919, 817,0:00:00.403689
505, 738,95, 661,915, 815,0:00:00.405679
505, 738,98, 663,912, 813,0:00:00.407676
505, 738,103, 666,907, 810,0:00:00.409687
505, 738,107, 667,903, 809,0:00:00.411694
505, 738,111, 669,899, 807,0:00:00.413698
505, 738,115, 670,895, 806,0:00:00.415685
505, 738,119, 671,891, 805,0:00:00.417680
505, 738,123, 673,887, 803,0:00:00.419689
505, 738,130, 676,880, 800,0:00:00.421676
505, 738,135, 677,875, 799,0:00:00.423679
505, 738,139, 679,871, 797,0:00:00.425676
505, 738,144, 680,866, 796,0:00:00.427683
505, 738,149, 681,861, 795,0:00:00.429683
505, 738,157, 684,853, 792,0:00:00.431681
505, 738,162, 685,848, 791,0:00:00.433680
505, 738,167, 687,843, 789,0:00:00.435688
505, 738,172, 688,838, 788,0:00:00.437678
505, 738,178, 689,832, 787,0:00:00.439694
505, 738,183, 690,827, 786,0:00:00.441679
505, 738,191, 693,819, 783,0:00:00.443690
505, 738,197, 694,813, 782,0:00:00.445693
505, 738,202, 696,808, 780,0:00:00.447690
505, 738,208, 697,802, 779,0:00:00.449690
505, 738,213, 698,797, 778,0:00:00.451691
505, 738,222, 700,788, 776,0:00:00.453681
505, 738,228, 701,782, 775,0:00:00.455678
505, 738,233, 702,777, 774,0:00:00.457679
505, 738,239, 703,771, 773,0:00:00.459679
505, 738,245, 704,765, 772,0:00:00.461686
505, 738,253, 706,757, 770,0:00:00.463684
505, 738,259, 707,751, 769,0:00:00.465672
505, 738,265, 707,745, 769,0:00:00.467682
505, 738,271, 708,739, 768,0:00:00.469680
505, 738,277, 709,733, 767,0:00:00.471682
505, 738,283, 710,727, 766,0:00:00.473691
505, 738,292, 711,718, 765,0:00:00.475681
505, 738,298, 711,712, 765,0:00:00.477699
505, 738,303, 712,707, 764,0:00:00.479672
505, 738,309, 713,701, 763,0:00:00.481682
505, 738,314, 713,696, 763,0:00:00.483683
505, 738,322, 713,688, 763,0:00:00.485690
505, 738,328, 714,682, 762,0:00:00.487678
505, 738,333, 714,677, 762,0:00:00.489678
505, 738,338, 714,672, 762,0:00:00.491673
505, 738,343, 714,667, 762,0:00:00.493677
505, 738,348, 715,662, 761,0:00:00.495683
505, 738,355, 716,655, 760,0:00:00.497699
505, 738,359, 716,651, 760,0:00:00.499701
505, 738,363, 716,647, 760,0:00:00.501682
505, 738,368, 716,642, 760,0:00:00.503687
505, 738,372, 716,638, 760,0:00:00.505688
505, 738,378, 716,632, 760,0:00:00.507675
505, 738,382, 716,628, 760,0:00:00.509694
505, 738,385, 716,625, 760,0:00:00.511690
505, 738,389, 716,621, 760,0:00:00.513706
505, 738,392, 716,618, 760,0:00:00.515690
